"","Location","Year","Month","average_monthly_rainfall","average_monthly_temp","average_monthly_wind","average_monthly_hum","State"
"1","Adelaide","2008","August",3.392,10.6467741935484,38.8333333333333,66.6129032258064,"South Australia"
"2","Adelaide","2008","December",1.30322580645161,20.45,36.6129032258064,48.4677419354839,"South Australia"
"3","Adelaide","2008","July",2.888,11.091935483871,39.4516129032258,64.1774193548387,"South Australia"
"4","Adelaide","2008","November",0.475862068965517,19.48,42.0344827586207,44.2166666666667,"South Australia"
"5","Adelaide","2008","October",0.285714285714286,18.2051724137931,36.6206896551724,40.2,"South Australia"
"6","Adelaide","2008","September",0.571428571428572,14.9816666666667,40.7,45,"South Australia"
"7","Adelaide","2009","April",2.45333333333333,17.9083333333333,35.1333333333333,51.7666666666667,"South Australia"
"8","Adelaide","2009","August",1.86,13.8322580645161,43.8333333333333,59.3225806451613,"South Australia"
"9","Adelaide","2009","December",0.587096774193548,22.208064516129,38.4838709677419,40.0483870967742,"South Australia"
"10","Adelaide","2009","February",0.0285714285714286,25.0571428571429,40.4814814814815,35.75,"South Australia"
"11","Adelaide","2009","January",0.0387096774193548,24.9677419354839,39.6451612903226,31.2586206896552,"South Australia"
"12","Adelaide","2009","July",3.51612903225806,12.3887096774194,38.1612903225806,67.9516129032258,"South Australia"
"13","Adelaide","2009","June",1.73333333333333,12.54,34.3333333333333,67.65,"South Australia"
"14","Adelaide","2009","March",0.690322580645161,20.6854838709677,36.551724137931,49.8064516129032,"South Australia"
"15","Adelaide","2009","May",2.03225806451613,14.3241935483871,28.4516129032258,67.5483870967742,"South Australia"
"16","Adelaide","2009","November",1.40666666666667,24.4283333333333,41.4,38.2166666666667,"South Australia"
"17","Adelaide","2009","October",0.593548387096774,16.708064516129,39.3225806451613,47.2258064516129,"South Australia"
"18","Adelaide","2009","September",2.2,15.0266666666667,42.6,50.8103448275862,"South Australia"
"19","Adelaide","2010","April",1.65333333333333,19.165,35,54.2166666666667,"South Australia"
"20","Adelaide","2010","August",3.97241379310345,11.5241935483871,43.9333333333333,62.8548387096774,"South Australia"
"21","Adelaide","2010","December",2.80645161290323,21.3645161290323,41.6774193548387,46.5,"South Australia"
"22","Adelaide","2010","February",0.2,25.2035714285714,38.3214285714286,40.4464285714286,"South Australia"
"23","Adelaide","2010","January",0.296774193548387,24.7370967741935,37.258064516129,36.15,"South Australia"
"24","Adelaide","2010","July",2.06206896551724,11.1258064516129,32,69.6290322580645,"South Australia"
"25","Adelaide","2010","June",2.26896551724138,11.66,32.0666666666667,69.9333333333333,"South Australia"
"26","Adelaide","2010","March",0.612903225806452,21.9564516129032,35.6333333333333,46.4354838709677,"South Australia"
"27","Adelaide","2010","May",1.89333333333333,15.1064516129032,31.3225806451613,57.4516129032258,"South Australia"
"28","Adelaide","2010","November",0.773333333333333,19.2283333333333,34.8333333333333,48.9833333333333,"South Australia"
"29","Adelaide","2010","October",0.941935483870968,16.5354838709677,38.6129032258064,48.8225806451613,"South Australia"
"30","Adelaide","2010","September",2.40666666666667,13.0716666666667,38.5666666666667,60.5666666666667,"South Australia"
"31","Adelaide","2011","August",3.55384615384615,13.6209677419355,35,60.1290322580645,"South Australia"
"32","Adelaide","2011","December",0.587096774193548,22.1290322580645,39.5806451612903,39.5645161290323,"South Australia"
"33","Adelaide","2011","February",1.6,23.8464285714286,35.8928571428571,49.1607142857143,"South Australia"
"34","Adelaide","2011","January",0.561290322580645,24.4677419354839,34.9032258064516,44.1290322580645,"South Australia"
"35","Adelaide","2011","July",2.11724137931034,11.75,34.9354838709677,64.6129032258064,"South Australia"
"36","Adelaide","2011","June",1.28275862068966,12.5216666666667,36.0333333333333,63.1166666666667,"South Australia"
"37","Adelaide","2011","March",2.63870967741935,19.9112903225806,35.8965517241379,56.1290322580645,"South Australia"
"38","Adelaide","2011","May",1.99354838709677,13.9709677419355,32.1612903225806,60.6774193548387,"South Australia"
"39","Adelaide","2011","November",0.84,20.7233333333333,39.8,45.9833333333333,"South Australia"
"40","Adelaide","2011","October",1.3741935483871,17.5709677419355,38.0322580645161,51.6612903225806,"South Australia"
"41","Adelaide","2011","September",1.56,15.51,41.2666666666667,46.35,"South Australia"
"42","Adelaide","2012","April",0.93103448275862,18.3883333333333,31.9333333333333,46.85,"South Australia"
"43","Adelaide","2012","August",2.26666666666667,11.7693548387097,42.0967741935484,63.6290322580645,"South Australia"
"44","Adelaide","2012","February",0.862068965517241,22.6862068965517,37.3928571428571,46.0689655172414,"South Australia"
"45","Adelaide","2012","January",0.620689655172414,25.1467741935484,44.7741935483871,39.4833333333333,"South Australia"
"46","Adelaide","2012","July",2.13548387096774,11.5774193548387,32.8064516129032,66.9677419354839,"South Australia"
"47","Adelaide","2012","June",4.51428571428572,11.5733333333333,35.7586206896552,68.8,"South Australia"
"48","Adelaide","2012","March",2.07096774193548,20.6129032258065,38.3548387096774,49.6129032258064,"South Australia"
"49","Adelaide","2012","May",2.71304347826087,13.7677419354839,32.7096774193548,61.0161290322581,"South Australia"
"50","Adelaide","2012","November",0.58,21.375,40.5,37.4666666666667,"South Australia"
"51","Adelaide","2012","October",0.666666666666667,16.9435483870968,38.5806451612903,43.2096774193548,"South Australia"
"52","Adelaide","2012","September",0.726666666666667,14.8233333333333,41.5666666666667,49.9833333333333,"South Australia"
"53","Adelaide","2013","April",1.22962962962963,18.5516666666667,33.6333333333333,50.9,"South Australia"
"54","Adelaide","2013","August",2.91034482758621,13.1629032258065,42.1290322580645,66.3387096774194,"South Australia"
"55","Adelaide","2013","December",0.6,22.0435483870968,41.1290322580645,38.8870967741936,"South Australia"
"56","Adelaide","2013","January",0.414285714285714,23.5451612903226,39.1935483870968,37.9354838709677,"South Australia"
"57","Adelaide","2013","July",3.84516129032258,12.6741935483871,39.4516129032258,68.4193548387097,"South Australia"
"58","Adelaide","2013","June",2.72857142857143,12.5216666666667,31.7,68.9833333333333,"South Australia"
"59","Adelaide","2013","March",0.7,23.2596774193548,38.4838709677419,47.1129032258064,"South Australia"
"60","Adelaide","2013","May",2.02962962962963,16.4451612903226,33,54.5161290322581,"South Australia"
"61","Adelaide","2013","November",0.179310344827586,19.11,39.5333333333333,40.6666666666667,"South Australia"
"62","Adelaide","2013","October",1.2,16.8161290322581,45.0645161290323,45.1612903225806,"South Australia"
"63","Adelaide","2013","September",1.57777777777778,17.485,45.3666666666667,52.7333333333333,"South Australia"
"64","Adelaide","2014","April",1.68666666666667,18.1633333333333,33.4333333333333,53.1666666666667,"South Australia"
"65","Adelaide","2014","August",0.670967741935483,12.0870967741935,32.9032258064516,52.0322580645161,"South Australia"
"66","Adelaide","2014","December",0.228571428571429,21.1887096774194,38.2903225806452,48.2258064516129,"South Australia"
"67","Adelaide","2014","February",3.50714285714286,23.8017857142857,41.9285714285714,42.7857142857143,"South Australia"
