Location,Year,Month,average_temp,Season,average_daily_fluctuations
Adelaide,2008,August,10.646774193548387,Winter,8.280645161290323
Adelaide,2008,December,20.45,Summer,10.093548387096774
Adelaide,2008,July,11.091935483870968,Winter,7.370967741935484
Adelaide,2008,November,19.48,Spring,10.459999999999999
Adelaide,2008,October,18.205172413793104,Spring,11.659999999999998
Adelaide,2008,September,14.981666666666667,Spring,10.81
Adelaide,2009,April,17.908333333333335,Autumn,9.883333333333333
Adelaide,2009,August,13.832258064516129,Winter,8.774193548387096
Adelaide,2009,December,22.20806451612903,Summer,12.616129032258065
Adelaide,2009,February,25.057142857142857,Summer,12.664285714285715
Adelaide,2009,January,24.967741935483872,Summer,14.070967741935483
Adelaide,2009,July,12.388709677419355,Winter,6.790322580645161
Adelaide,2009,June,12.540000000000001,Winter,7.873333333333334
Adelaide,2009,March,20.68548387096774,Autumn,11.183870967741937
Adelaide,2009,May,14.324193548387097,Autumn,7.583870967741936
Adelaide,2009,November,24.428333333333335,Spring,12.83
Adelaide,2009,October,16.70806451612903,Spring,10.429032258064517
Adelaide,2009,September,15.026666666666667,Spring,9.053333333333333
Adelaide,2010,April,19.165,Autumn,9.81
Adelaide,2010,August,11.524193548387096,Winter,7.145161290322581
Adelaide,2010,December,21.364516129032257,Summer,10.664516129032258
Adelaide,2010,February,25.20357142857143,Summer,12.335714285714285
Adelaide,2010,January,24.73709677419355,Summer,13.274193548387096
Adelaide,2010,July,11.125806451612902,Winter,8.619354838709677
Adelaide,2010,June,11.66,Winter,8.313333333333333
Adelaide,2010,March,21.956451612903226,Autumn,11.564516129032258
Adelaide,2010,May,15.106451612903225,Autumn,9.187096774193549
Adelaide,2010,November,19.22833333333333,Spring,10.19
Adelaide,2010,October,16.53548387096774,Spring,9.683870967741935
Adelaide,2010,September,13.071666666666667,Spring,7.67
Adelaide,2011,April,15.929032258064517,Autumn,11.52
Adelaide,2011,August,13.620967741935484,Winter,8.80967741935484
Adelaide,2011,December,22.129032258064516,Summer,11.587096774193547
Adelaide,2011,February,23.84642857142857,Summer,10.457142857142857
Adelaide,2011,January,24.467741935483872,Summer,12.322580645161292
Adelaide,2011,July,11.75,Winter,7.693548387096774
Adelaide,2011,June,12.521666666666667,Winter,7.956666666666667
Adelaide,2011,March,19.911290322580644,Autumn,9.370967741935484
Adelaide,2011,May,13.970967741935484,Autumn,7.974193548387097
Adelaide,2011,November,20.723333333333333,Spring,12.053333333333333
Adelaide,2011,October,17.570967741935483,Spring,9.07741935483871
Adelaide,2011,September,15.51,Spring,10.546666666666667
Adelaide,2012,April,18.388333333333332,Autumn,11.663333333333334
Adelaide,2012,August,11.769354838709678,Winter,8.229032258064516
Adelaide,2012,December,26.71875,Summer,9.429032258064515
Adelaide,2012,December,26.71875,Summer,8.229032258064516
Adelaide,2012,February,22.686206896551724,Summer,11.048275862068966
Adelaide,2012,January,25.14677419354839,Summer,11.996774193548386
Adelaide,2012,July,11.57741935483871,Winter,7.496774193548387
Adelaide,2012,June,11.573333333333334,Winter,7.373333333333333
Adelaide,2012,March,20.612903225806452,Autumn,11.12258064516129
Adelaide,2012,May,13.76774193548387,Autumn,8.851612903225806
Adelaide,2012,November,21.375,Spring,12.596666666666666
Adelaide,2012,October,16.943548387096772,Spring,12.403225806451614
Adelaide,2012,September,14.823333333333334,Spring,9.966666666666667
Adelaide,2013,April,18.551666666666666,Autumn,10.436666666666667
Adelaide,2013,August,13.162903225806451,Winter,8.05483870967742
Adelaide,2013,December,22.043548387096774,Summer,12.996774193548386
Adelaide,2013,February,18.836129032258068,Summer,11.796774193548387
Adelaide,2013,January,23.545161290322582,Summer,13.754838709677419
Adelaide,2013,July,12.674193548387096,Winter,7.083870967741936
Adelaide,2013,June,12.521666666666667,Winter,7.8500000000000005
Adelaide,2013,March,23.25967741935484,Autumn,10.332258064516129
Adelaide,2013,May,16.44516129032258,Autumn,8.380645161290323
Adelaide,2013,November,19.11,Spring,12.06
Adelaide,2013,October,16.816129032258065,Spring,11.058064516129033
Adelaide,2013,September,17.485,Spring,9.596666666666668
Adelaide,2014,April,18.163333333333334,Autumn,9.56
Adelaide,2014,August,12.087096774193549,Winter,10.64516129032258
Adelaide,2014,December,21.188709677419354,Summer,11.564516129032258
Adelaide,2014,February,23.801785714285714,Summer,11.982142857142858
Adelaide,2014,January,25.524193548387096,Summer,13.867741935483872
Adelaide,2014,July,11.75,Winter,7.170967741935484
Adelaide,2014,June,12.838333333333333,Winter,6.983333333333333
Adelaide,2014,March,21.274193548387096,Autumn,12.141935483870968
Adelaide,2014,May,16.420967741935485,Autumn,8.370967741935484
Adelaide,2014,November,20.636666666666667,Spring,12.133333333333333
Adelaide,2014,October,19.058064516129033,Spring,13.819354838709677
Adelaide,2014,September,15.848333333333333,Spring,10.13
Adelaide,2015,April,15.785,Autumn,9.47
Adelaide,2015,August,11.988709677419354,Winter,7.564516129032258
Adelaide,2015,December,25.28548387096774,Summer,14.364516129032259
Adelaide,2015,February,25.373214285714287,Summer,14.603571428571428
Adelaide,2015,January,23.10322580645161,Summer,11.2
Adelaide,2015,July,10.708064516129033,Winter,7.958064516129032
Adelaide,2015,June,12.151666666666667,Winter,8.003333333333334
Adelaide,2015,March,20.003225806451614,Autumn,10.974193548387097
Adelaide,2015,May,14.235483870967741,Autumn,8.509677419354839
Adelaide,2015,November,20.96034482758621,Spring,7.309677419354839
Adelaide,2015,October,20.55483870967742,Spring,13.07741935483871
Adelaide,2015,September,14.09,Spring,10.22
Adelaide,2016,April,18.708333333333332,Autumn,12.236666666666666
Adelaide,2016,August,12.696774193548388,Winter,9.92258064516129
Adelaide,2016,December,22.025806451612905,Summer,13.264516129032257
Adelaide,2016,February,22.829310344827586,Summer,12.920689655172414
Adelaide,2016,January,24.662903225806453,Summer,13.05483870967742
Adelaide,2016,July,11.696774193548388,Winter,7.174193548387096
Adelaide,2016,June,12.466666666666667,Winter,7.153333333333333
Adelaide,2016,March,22.730645161290322,Autumn,11.82258064516129
Adelaide,2016,May,16.09193548387097,Autumn,7.403225806451613
Adelaide,2016,November,18.413333333333334,Spring,12.586666666666666
Adelaide,2016,October,15.790322580645162,Spring,10.406451612903226
Adelaide,2016,September,13.241666666666667,Spring,8.356666666666667
Adelaide,2017,April,18.335,Autumn,10.003333333333334
Adelaide,2017,February,22.84464285714286,Summer,11.746428571428572
Adelaide,2017,January,24.41774193548387,Summer,12.48709677419355
Adelaide,2017,June,11.339583333333334,Winter,11.28709677419355
Adelaide,2017,March,23.337096774193547,Autumn,11.848387096774193
Adelaide,2017,May,14.290322580645162,Autumn,9.735483870967741
Albany,2008,December,17.61,Summer,9.46
Albany,2009,April,17.461666666666666,Autumn,6.256666666666667
Albany,2009,August,12.988709677419354,Winter,7.248387096774193
